"GEOGRAPHY_CODE","C2021_HIQUAL_8_NAME","OBS_VALUE"
"E02000865","Level 4 qualifications or above",2800
"E02000865","Other qualifications",185
"E02000866","Total: All usual residents aged 16 years and over",8789
"E02000866","No qualifications",1442
"E02000866","Level 1 and entry level qualifications",490
"E02000866","Level 2 qualifications",669
"E02000866","Apprenticeship",180
"E02000866","Level 3 qualifications",1002
"E02000866","Level 4 qualifications or above",4825
"E02000866","Other qualifications",181
"E02000867","Total: All usual residents aged 16 years and over",9647
"E02000867","No qualifications",1287
"E02000867","Level 1 and entry level qualifications",566
"E02000867","Level 2 qualifications",773
"E02000867","Apprenticeship",170
"E02000867","Level 3 qualifications",1145
"E02000867","Level 4 qualifications or above",5480
"E02000867","Other qualifications",226
"E02000868","Total: All usual residents aged 16 years and over",6104
"E02000868","No qualifications",949
"E02000868","Level 1 and entry level qualifications",385
"E02000868","Level 2 qualifications",489
"E02000868","Apprenticeship",114
"E02000868","Level 3 qualifications",848
"E02000868","Level 4 qualifications or above",3182
"E02000868","Other qualifications",137
"E02000869","Total: All usual residents aged 16 years and over",4886
"E02000869","No qualifications",820
"E02000869","Level 1 and entry level qualifications",336
"E02000869","Level 2 qualifications",392
"E02000869","Apprenticeship",121
"E02000869","Level 3 qualifications",588
"E02000869","Level 4 qualifications or above",2513
"E02000869","Other qualifications",116
"E02000870","Total: All usual residents aged 16 years and over",5159
"E02000870","No qualifications",941
"E02000870","Level 1 and entry level qualifications",450
"E02000870","Level 2 qualifications",471
"E02000870","Apprenticeship",130
"E02000870","Level 3 qualifications",651
"E02000870","Level 4 qualifications or above",2377
"E02000870","Other qualifications",139
"E02000871","Total: All usual residents aged 16 years and over",8961
"E02000871","No qualifications",1712
"E02000871","Level 1 and entry level qualifications",756
"E02000871","Level 2 qualifications",915
"E02000871","Apprenticeship",257
"E02000871","Level 3 qualifications",1247
"E02000871","Level 4 qualifications or above",3785
"E02000871","Other qualifications",289
"E02000872","Total: All usual residents aged 16 years and over",6812
"E02000872","No qualifications",1131
"E02000872","Level 1 and entry level qualifications",443
"E02000872","Level 2 qualifications",566
"E02000872","Apprenticeship",124
"E02000872","Level 3 qualifications",867
"E02000872","Level 4 qualifications or above",3511
"E02000872","Other qualifications",170
"E02000873","Total: All usual residents aged 16 years and over",7972
"E02000873","No qualifications",1197
"E02000873","Level 1 and entry level qualifications",517
"E02000873","Level 2 qualifications",623
"E02000873","Apprenticeship",165
"E02000873","Level 3 qualifications",1990
"E02000873","Level 4 qualifications or above",3223
"E02000873","Other qualifications",257
"E02000874","Total: All usual residents aged 16 years and over",5957
"E02000874","No qualifications",1168
"E02000874","Level 1 and entry level qualifications",520
"E02000874","Level 2 qualifications",545
"E02000874","Apprenticeship",149
"E02000874","Level 3 qualifications",819
"E02000874","Level 4 qualifications or above",2535
"E02000874","Other qualifications",221
"E02000875","Total: All usual residents aged 16 years and over",10701
"E02000875","No qualifications",1975
"E02000875","Level 1 and entry level qualifications",863
"E02000875","Level 2 qualifications",1118
"E02000875","Apprenticeship",221
"E02000875","Level 3 qualifications",1571
"E02000875","Level 4 qualifications or above",4674
"E02000875","Other qualifications",279
"E02000876","Total: All usual residents aged 16 years and over",6036
"E02000876","No qualifications",1068
"E02000876","Level 1 and entry level qualifications",468
"E02000876","Level 2 qualifications",487
"E02000876","Apprenticeship",129
"E02000876","Level 3 qualifications",758
"E02000876","Level 4 qualifications or above",2942
"E02000876","Other qualifications",184
"E02000877","Total: All usual residents aged 16 years and over",10928
"E02000877","No qualifications",1931
"E02000877","Level 1 and entry level qualifications",809
"E02000877","Level 2 qualifications",965
"E02000877","Apprenticeship",261
"E02000877","Level 3 qualifications",1497
"E02000877","Level 4 qualifications or above",5172
"E02000877","Other qualifications",293
"E02000878","Total: All usual residents aged 16 years and over",9009
"E02000878","No qualifications",1447
"E02000878","Level 1 and entry level qualifications",502
"E02000878","Level 2 qualifications",705
"E02000878","Apprenticeship",172
"E02000878","Level 3 qualifications",1104
"E02000878","Level 4 qualifications or above",4836
"E02000878","Other qualifications",243
"E02000879","Total: All usual residents aged 16 years and over",6668
"E02000879","No qualifications",1474
"E02000879","Level 1 and entry level qualifications",543
"E02000879","Level 2 qualifications",669
"E02000879","Apprenticeship",179
"E02000879","Level 3 qualifications",964
"E02000879","Level 4 qualifications or above",2621
"E02000879","Other qualifications",218
"E02000880","Total: All usual residents aged 16 years and over",5201
"E02000880","No qualifications",1009
"E02000880","Level 1 and entry level qualifications",403
"E02000880","Level 2 qualifications",445
"E02000880","Apprenticeship",112
"E02000880","Level 3 qualifications",858
"E02000880","Level 4 qualifications or above",2217
"E02000880","Other qualifications",157
"E02000881","Total: All usual residents aged 16 years and over",8333
"E02000881","No qualifications",1533
"E02000881","Level 1 and entry level qualifications",712
"E02000881","Level 2 qualifications",864
"E02000881","Apprenticeship",238
"E02000881","Level 3 qualifications",1131
"E02000881","Level 4 qualifications or above",3606
"E02000881","Other qualifications",249
"E02000882","Total: All usual residents aged 16 years and over",8884
"E02000882","No qualifications",1971
"E02000882","Level 1 and entry level qualifications",686
"E02000882","Level 2 qualifications",983
"E02000882","Apprenticeship",196
"E02000882","Level 3 qualifications",1272
"E02000882","Level 4 qualifications or above",3529
"E02000882","Other qualifications",247
"E02000883","Total: All usual residents aged 16 years and over",7068
"E02000883","No qualifications",1610
"E02000883","Level 1 and entry level qualifications",670
"E02000883","Level 2 qualifications",769
"E02000883","Apprenticeship",179
"E02000883","Level 3 qualifications",1073
"E02000883","Level 4 qualifications or above",2493
"E02000883","Other qualifications",274
"E02000884","Total: All usual residents aged 16 years and over",10817
"E02000884","No qualifications",1349
"E02000884","Level 1 and entry level qualifications",586
"E02000884","Level 2 qualifications",826
"E02000884","Apprenticeship",194
"E02000884","Level 3 qualifications",1475
"E02000884","Level 4 qualifications or above",6005
"E02000884","Other qualifications",382
"E02000885","Total: All usual residents aged 16 years and over",5508
"E02000885","No qualifications",1332
"E02000885","Level 1 and entry level qualifications",523
"E02000885","Level 2 qualifications",591
"E02000885","Apprenticeship",168
"E02000885","Level 3 qualifications",748
"E02000885","Level 4 qualifications or above",1956
"E02000885","Other qualifications",190
"E02000886","Total: All usual residents aged 16 years and over",7944
"E02000886","No qualifications",1176
"E02000886","Level 1 and entry level qualifications",520
"E02000886","Level 2 qualifications",623
"E02000886","Apprenticeship",163
"E02000886","Level 3 qualifications",962
"E02000886","Level 4 qualifications or above",4291
"E02000886","Other qualifications",209
"E02000887","Total: All usual residents aged 16 years and over",8344
"E02000887","No qualifications",1671
"E02000887","Level 1 and entry level qualifications",740
"E02000887","Level 2 qualifications",883
"E02000887","Apprenticeship",228
"E02000887","Level 3 qualifications",1099
"E02000887","Level 4 qualifications or above",3451
"E02000887","Other qualifications",272
"E02000888","Total: All usual residents aged 16 years and over",6927
"E02000888","No qualifications",1126
"E02000888","Level 1 and entry level qualifications",457
"E02000888","Level 2 qualifications",595
"E02000888","Apprenticeship",143
"E02000888","Level 3 qualifications",779
"E02000888","Level 4 qualifications or above",3630
